symbol,trade_date,prev_close,open_price,high_price,low_price,close_price,avg_price,volume,no_of_trades
RELIANCE,1/29/2026,1396.7,1402.9,1402.9,1384,1391,1393.55,20846683,295986
RELIANCE,1/28/2026,1380.5,1385,1409.9,1384.9,1396.7,1396.85,11121657,209556
RELIANCE,1/27/2026,1386.1,1380,1391.6,1368,1380.5,1381.87,26302396,337571
RELIANCE,1/23/2026,1402.5,1401.8,1407,1381,1386.1,1391.32,9837802,263283
RELIANCE,1/22/2026,1404.6,1410.1,1419.5,1395,1402.5,1403.8,15721693,391641
RELIANCE,1/21/2026,1394,1389.5,1412.9,1373,1404.6,1399.14,17352720,412452
RELIANCE,1/20/2026,1413.6,1410.7,1416,1390,1394,1401.05,13189498,382470
RELIANCE,1/19/2026,1457.9,1450.6,1450.6,1403.3,1413.6,1415.36,20392765,569720
RELIANCE,1/16/2026,1458.8,1458.8,1480,1455.1,1457.9,1464.15,17167161,289037
RELIANCE,1/14/2026,1452.8,1444,1467,1440.2,1458.8,1458.22,8321764,167816
RELIANCE,1/13/2026,1483.2,1485,1485.8,1444.7,1452.8,1457.67,13499760,289198
RELIANCE,1/12/2026,1475.3,1475.3,1485.3,1451,1483.2,1469.79,8883745,236827
RELIANCE,1/9/2026,1470.6,1465,1479.9,1465,1475.3,1472.13,8335311,237412
RELIANCE,1/8/2026,1504.2,1500,1503.9,1468.8,1470.6,1477.72,16518684,443727
RELIANCE,1/7/2026,1507.6,1510,1520,1498,1504.2,1506.81,11199340,302077
RELIANCE,1/6/2026,1578.1,1569,1569,1496.3,1507.6,1516.17,27417125,583917
RELIANCE,1/5/2026,1592.3,1593,1611.8,1575.3,1578.1,1589.36,8704973,227204
RELIANCE,1/2/2026,1575.6,1580,1594.6,1578.2,1592.3,1589.16,6602230,156023
RELIANCE,1/1/2026,1570.4,1573.7,1592.5,1571.1,1575.6,1578.67,6408128,134062
RELIANCE,12/31/2025,1539.8,1541,1577,1541,1570.4,1566.86,5771830,141792
RELIANCE,12/30/2025,1545.6,1547,1553.6,1537.8,1539.8,1543.21,8815884,199428
RELIANCE,12/29/2025,1559.2,1554.9,1558.1,1543.6,1545.6,1547.8,5972105,158162
RELIANCE,12/26/2025,1558.2,1554.7,1561,1554.3,1559.2,1558.05,2311495,81976
RELIANCE,12/24/2025,1570.7,1572.7,1575.7,1553.6,1558.2,1559.55,8815745,243970
RELIANCE,12/23/2025,1575.4,1580.9,1580.9,1568.1,1570.7,1573.01,7506564,179265
RELIANCE,12/22/2025,1565.1,1573.5,1577.5,1565.3,1575.4,1571.96,10184852,371017
RELIANCE,12/19/2025,1544.4,1554.4,1574.2,1551,1565.1,1566.6,13937275,279233
RELIANCE,12/18/2025,1544.4,1535.2,1551.5,1535.2,1544.4,1545.3,6580829,175814
RELIANCE,12/17/2025,1542.3,1550,1550,1539.3,1544.4,1544.14,7116649,176852
RELIANCE,12/16/2025,1556.2,1545,1551.7,1538.8,1542.3,1544.3,11731856,246980
RELIANCE,12/15/2025,1556.5,1551.2,1558.6,1546.5,1556.2,1553.69,5774543,185872
RELIANCE,12/12/2025,1545,1550.8,1559.8,1546.1,1556.5,1555.21,5106655,139702
RELIANCE,12/11/2025,1536.9,1536.9,1550,1524,1545,1540.61,4706197,168155
RELIANCE,12/10/2025,1529.4,1534,1547.5,1531.4,1536.9,1539.72,7991629,202989
RELIANCE,12/9/2025,1543,1540.3,1542.5,1520.1,1529.4,1530,11503971,205129
RELIANCE,12/8/2025,1540.6,1539.2,1551,1535,1543,1540.71,11301491,182756
RELIANCE,12/5/2025,1535.6,1530.4,1545.8,1520.6,1540.6,1534.8,10183266,181528
RELIANCE,12/4/2025,1538.8,1536,1560.5,1517.6,1535.6,1543.73,11867930,203260
RELIANCE,12/3/2025,1546.3,1545.2,1552.4,1533,1538.8,1539.45,6090883,156721
RELIANCE,12/2/2025,1566.1,1561.1,1567.5,1542,1546.3,1550.62,11389150,323713
RELIANCE,12/1/2025,1567.5,1575,1577.5,1563.6,1566.1,1571.31,8920233,292601
RELIANCE,11/28/2025,1563.4,1568,1581.3,1563,1567.5,1571.94,8959508,229373
RELIANCE,11/27/2025,1569.9,1575,1575.5,1556,1563.4,1563.68,9794643,278929
RELIANCE,11/26/2025,1539.7,1542.3,1571.6,1540.5,1569.9,1562.98,14054299,285274
RELIANCE,11/25/2025,1535.9,1535.9,1559.6,1525.1,1539.7,1546.34,15033482,299805
RELIANCE,11/24/2025,1546.6,1550,1550,1531.8,1535.9,1537.26,18433951,198313
RELIANCE,11/21/2025,1549.1,1541,1557.8,1540.1,1546.6,1549.35,9615271,240250
RELIANCE,11/20/2025,1518.9,1530,1550.9,1526.7,1549.1,1543.57,18171724,246552
RELIANCE,11/19/2025,1519.4,1517.4,1522.3,1512,1518.9,1518.64,5692366,131481
RELIANCE,11/18/2025,1518.3,1521.7,1527.8,1510.5,1519.4,1520.18,11045042,165850
RELIANCE,11/17/2025,1518.9,1520.9,1523.7,1511.5,1518.3,1516.89,5871416,123473
RELIANCE,11/14/2025,1510.9,1505.5,1520.9,1505.5,1518.9,1516.51,7682823,194941
RELIANCE,11/13/2025,1511.5,1515,1522.1,1506.8,1510.9,1514.35,7196443,209774
RELIANCE,11/12/2025,1493.4,1505,1524.7,1500,1511.5,1515,12384459,252417
RELIANCE,11/11/2025,1489.3,1497,1498.8,1480.2,1493.4,1489.58,7127506,149607
RELIANCE,11/10/2025,1478,1477.9,1501,1475.5,1489.3,1492.69,7068438,154602
RELIANCE,11/7/2025,1496.1,1494.6,1498.4,1475.9,1478,1486.71,7821765,139608
RELIANCE,11/6/2025,1473.1,1484,1501.6,1476.2,1496.1,1494.08,16772678,269902
RELIANCE,11/4/2025,1484.7,1483.9,1492.8,1470.1,1473.1,1480.96,10007806,218103
RELIANCE,11/3/2025,1486.4,1486,1495,1479.3,1484.7,1488.29,8452085,245664
RELIANCE,10/31/2025,1488.5,1490.4,1497.5,1482.3,1486.4,1487.8,8758053,206898
RELIANCE,10/30/2025,1504.2,1500,1503.1,1484,1488.5,1492.27,9318663,276397
RELIANCE,10/29/2025,1486.9,1490,1508.3,1488.1,1504.2,1502.67,11884745,219504
RELIANCE,10/28/2025,1484.1,1484.1,1492,1477.6,1486.9,1484.96,17631577,314894
RELIANCE,10/27/2025,1451.6,1463,1485,1458,1484.1,1480.24,14113867,274839
RELIANCE,10/24/2025,1448.4,1450,1459.8,1441,1451.6,1450.25,9700837,221258
RELIANCE,10/23/2025,1465.2,1475,1482.9,1444.6,1448.4,1464.71,18707090,376220
RELIANCE,10/21/2025,1466.8,1468,1474,1460,1465.2,1467.87,2066169,86819
RELIANCE,10/20/2025,1416.8,1440,1473.8,1433.3,1466.8,1461.76,24721978,512798
RELIANCE,10/17/2025,1398.3,1401,1423.3,1399.1,1416.8,1413.78,19335561,350761
RELIANCE,10/16/2025,1374.3,1375.1,1400.5,1375,1398.3,1387.2,12315932,287913
RELIANCE,10/15/2025,1375.9,1383,1384,1372.7,1374.3,1377.15,10882743,239811
RELIANCE,10/14/2025,1375,1380,1388,1370.1,1375.9,1377.47,9768174,164937
RELIANCE,10/13/2025,1381.7,1376.9,1377.7,1367.8,1375,1372.7,7600682,175585
RELIANCE,10/10/2025,1377.8,1377.8,1388,1375.1,1381.7,1383.21,6373084,193985
RELIANCE,10/9/2025,1367.4,1374,1380,1369.1,1377.8,1376.25,8826633,217890
RELIANCE,10/8/2025,1384.8,1384.8,1389,1364.5,1367.4,1371.62,8525081,214245
RELIANCE,10/7/2025,1375,1376,1395.9,1375.9,1384.8,1386.79,11244040,196055
RELIANCE,10/6/2025,1363.4,1360,1377.4,1359,1375,1367.85,12396580,184550
RELIANCE,10/3/2025,1368.7,1363.2,1371.6,1356.9,1363.4,1362.13,12842347,216161
RELIANCE,10/1/2025,1364,1367,1378.6,1362.7,1368.7,1369.56,12045916,258017
RELIANCE,9/30/2025,1372.8,1377.1,1377.1,1362.8,1364,1366.52,14604684,223375
RELIANCE,9/29/2025,1377.6,1381.6,1389,1368,1372.8,1375.78,14231999,213268
RELIANCE,9/26/2025,1372.4,1372,1382.7,1366,1377.6,1376.37,9879109,148644
RELIANCE,9/25/2025,1383,1381.3,1384.5,1369,1372.4,1375.53,11411143,155102
RELIANCE,9/24/2025,1389.8,1385.3,1396,1380.4,1383,1387.32,5922759,120399
RELIANCE,9/23/2025,1390.6,1391,1395,1376.8,1389.8,1387.57,14014702,210931
RELIANCE,9/22/2025,1407.4,1403.9,1410.7,1388,1390.6,1400.91,7757970,136991
RELIANCE,9/19/2025,1415,1414.9,1417,1403.6,1407.4,1408.43,13461373,143644
RELIANCE,9/18/2025,1413.8,1420.4,1422,1410.7,1415,1415.31,9332642,182559
RELIANCE,9/17/2025,1405.3,1407,1416.2,1406.9,1413.8,1412.05,7519417,189638
RELIANCE,9/16/2025,1399.3,1404.7,1408,1398.2,1405.3,1404,8686961,170452
RELIANCE,9/15/2025,1395,1393,1400.8,1388.6,1399.3,1395.97,5396697,130728
RELIANCE,9/12/2025,1383.3,1383.3,1396.3,1380.5,1395,1392.69,7403368,156369
RELIANCE,9/11/2025,1377,1376,1385.5,1375,1383.3,1382.49,9766072,173431
RELIANCE,9/10/2025,1376.2,1383.9,1388.5,1374.1,1377,1380.12,7790815,222655
RELIANCE,9/9/2025,1378.5,1376.6,1381.2,1368.7,1376.2,1375.44,9754452,209637
RELIANCE,9/8/2025,1375,1380,1386,1372.4,1378.5,1379.43,6986720,131052
RELIANCE,9/5/2025,1359.3,1363,1381,1359.3,1375,1370.36,5777575,142951
RELIANCE,9/4/2025,1372.6,1371.8,1374,1357.1,1359.3,1363.97,13223177,200473
RELIANCE,9/3/2025,1366.5,1369.7,1376.5,1360.5,1372.6,1368.85,7847563,209277
RELIANCE,9/2/2025,1353.9,1354.8,1384.5,1354.5,1366.5,1374.28,11517006,235433
RELIANCE,9/1/2025,1357.2,1356,1363.2,1340.6,1353.9,1353.99,11232238,249574
RELIANCE,8/29/2025,1385.9,1381.1,1403.5,1350,1357.2,1375.14,18758842,348532
RELIANCE,8/28/2025,1384.9,1389.9,1392.2,1366.5,1385.9,1380.78,13161813,252423
RELIANCE,8/26/2025,1412.6,1408,1410,1381.6,1384.9,1390.78,12145259,201578
RELIANCE,8/25/2025,1409.2,1414.7,1419.5,1405.7,1412.6,1412.48,5979407,184067
RELIANCE,8/22/2025,1424.8,1420,1423.4,1407.9,1409.2,1414,5818868,137165
RELIANCE,8/21/2025,1413,1425,1431.9,1420.3,1424.8,1427.55,11021323,231863
RELIANCE,8/20/2025,1420.1,1413,1424.9,1410,1413,1418.58,8725641,196554
RELIANCE,8/19/2025,1381.7,1390,1421,1389.1,1420.1,1413.6,14384719,288664
RELIANCE,8/18/2025,1373.8,1390,1394.9,1377,1381.7,1384.21,11785109,319844
RELIANCE,8/14/2025,1382.6,1377.3,1380.7,1370.1,1373.8,1375.17,7126128,175588
RELIANCE,8/13/2025,1380.4,1388,1391.8,1377.5,1382.6,1384.19,7457021,208576
RELIANCE,8/12/2025,1386.2,1381.9,1401.9,1375.2,1380.4,1386.76,12244664,179433
RELIANCE,8/11/2025,1367.8,1370,1388,1361.2,1386.2,1375.78,9997486,226304
RELIANCE,8/8/2025,1389.4,1385,1397.2,1365,1367.8,1374.93,8793606,208137
RELIANCE,8/7/2025,1392.8,1387.7,1393.7,1366,1389.4,1381.52,9976705,293767
RELIANCE,8/6/2025,1391.7,1391.9,1395.9,1383.3,1392.8,1390.57,5834312,156725
RELIANCE,8/5/2025,1411.5,1411,1411,1388.1,1391.7,1394.5,9315972,238858
RELIANCE,8/4/2025,1393.7,1395.1,1416.1,1391.7,1411.5,1410.61,6312820,188246
RELIANCE,8/1/2025,1390.2,1386.9,1405.9,1384.3,1393.7,1397.47,10321171,208431
RELIANCE,7/31/2025,1410.1,1388.1,1402.6,1382.2,1390.2,1392.63,17065827,373516
RELIANCE,7/30/2025,1417.1,1418.1,1423.3,1401.3,1410.1,1411.5,7209849,167311
RELIANCE,7/29/2025,1387.6,1383,1420.2,1383,1417.1,1402.99,10750072,187813
RELIANCE,7/28/2025,1391.7,1392.3,1407.8,1385,1387.6,1394.17,7748361,198421
RELIANCE,7/25/2025,1402.9,1398.9,1401,1384.1,1391.7,1394.22,11854722,237018
RELIANCE,7/24/2025,1424.6,1419.2,1423,1396,1402.9,1407.06,14740507,314670
RELIANCE,7/23/2025,1412.8,1426,1426,1414.4,1424.6,1421.41,8354596,225103
RELIANCE,7/22/2025,1428.6,1427.4,1431.9,1410.7,1412.8,1417.05,20396320,504145
RELIANCE,7/21/2025,1476,1465,1476,1423.1,1428.6,1435.24,22442744,630358
RELIANCE,7/18/2025,1476.4,1484.8,1484.8,1469.1,1476,1475.2,10296318,222241
RELIANCE,7/17/2025,1485.6,1487.4,1489.6,1473.9,1476.4,1479.78,11854613,189733
RELIANCE,7/16/2025,1485.4,1473,1491,1471.5,1485.6,1481.43,10409983,191598
RELIANCE,7/15/2025,1483.7,1486.2,1496.5,1482.4,1485.4,1487.92,8132454,173756
RELIANCE,7/14/2025,1495.2,1492.2,1500,1479.1,1483.7,1487.76,10311846,186122
RELIANCE,7/11/2025,1517.2,1512,1515,1490.3,1495.2,1496.06,7234991,178490
RELIANCE,7/10/2025,1519,1519.7,1524.7,1507.5,1517.2,1516.2,10047129,289035
RELIANCE,7/9/2025,1537.6,1536.7,1551,1510.1,1519,1532.97,8870660,254524
RELIANCE,7/8/2025,1541.5,1536,1544.9,1530.2,1537.6,1536.23,7171261,191265
RELIANCE,7/7/2025,1527.3,1526.6,1544.8,1525,1541.5,1539.06,7251074,205134
RELIANCE,7/4/2025,1517.8,1524,1530,1517.2,1527.3,1523.57,6603501,167255
RELIANCE,7/3/2025,1518.8,1520.8,1531.9,1513,1517.8,1520.57,11283291,258008
RELIANCE,7/2/2025,1528.4,1528.4,1530,1508.7,1518.8,1518.29,6361002,183873
RELIANCE,7/1/2025,1500.6,1500.6,1531.4,1500.1,1528.4,1522.95,10368523,232573
RELIANCE,6/30/2025,1515.4,1513.8,1524.8,1496,1500.6,1509.28,8409527,242195
RELIANCE,6/27/2025,1495.3,1499.4,1522,1496.9,1515.4,1511.99,11117052,269877
RELIANCE,6/26/2025,1467.3,1469.1,1498.8,1465.1,1495.3,1488.16,14657893,247215
RELIANCE,6/25/2025,1450.8,1464,1472.4,1460.5,1467.3,1467.46,7525851,197720
RELIANCE,6/24/2025,1456.8,1465,1475,1443.1,1450.8,1456.68,16402744,284313
RELIANCE,6/23/2025,1466.2,1453,1463.8,1442,1456.8,1453.48,5989078,226309
RELIANCE,6/20/2025,1433.3,1431,1471,1428.1,1466.2,1462.68,29010635,276278
RELIANCE,6/19/2025,1430.1,1430.1,1439.9,1425.7,1433.3,1433.8,10007230,179473
RELIANCE,6/18/2025,1431.2,1430,1442.8,1425.7,1430.1,1431.31,6681735,138211
RELIANCE,6/17/2025,1437.8,1448,1448,1425.8,1431.2,1432.15,10366599,191173
RELIANCE,6/16/2025,1427.9,1426.9,1442.4,1424.4,1437.8,1436.42,8458093,213623
RELIANCE,6/13/2025,1441.6,1424,1435.5,1414.3,1427.9,1423.95,9757276,202256
RELIANCE,6/12/2025,1448.9,1453.5,1457,1434.4,1441.6,1444.32,8828114,190194
RELIANCE,6/11/2025,1438.5,1445.8,1468.6,1443.1,1448.9,1456.11,8195700,184593
RELIANCE,6/10/2025,1448.8,1450,1453.9,1436,1438.5,1442.59,7913181,167203
RELIANCE,6/9/2025,1443.5,1457,1457.5,1445.3,1448.8,1449.95,7885125,159916
RELIANCE,6/6/2025,1442.4,1441,1451.5,1437,1443.5,1444.22,8182161,179734
RELIANCE,6/5/2025,1423.5,1428,1454.7,1423.6,1442.4,1442.72,13716817,304069
RELIANCE,6/4/2025,1405.5,1414.7,1425.7,1406.1,1423.5,1415.78,8126827,152064
RELIANCE,6/3/2025,1413.7,1422.3,1426.5,1403.4,1405.5,1412.34,11252626,230110
RELIANCE,6/2/2025,1420.9,1412.1,1417.5,1395.6,1413.7,1407.75,8098668,189977
RELIANCE,5/30/2025,1417.8,1418,1430.6,1409.7,1420.9,1419.89,13788484,155127
RELIANCE,5/29/2025,1412.9,1412.1,1420,1408.6,1417.8,1414.72,13771917,265116
RELIANCE,5/28/2025,1422.1,1420.1,1422.6,1410.7,1412.9,1414.99,5944611,169185
RELIANCE,5/27/2025,1434.8,1426.1,1437,1413.9,1422.1,1421.81,12640414,211047
RELIANCE,5/26/2025,1426.8,1432,1441,1425.1,1434.8,1437.16,4842944,171837
RELIANCE,5/23/2025,1409.4,1406.6,1433.8,1406.6,1426.8,1424.63,6474883,135371
RELIANCE,5/22/2025,1429.2,1421.2,1423.8,1396.9,1409.4,1406.85,12134466,228031
RELIANCE,5/21/2025,1424.6,1423.9,1436.2,1418.1,1429.2,1427.75,6136364,232529
RELIANCE,5/20/2025,1440.8,1438.2,1445,1421.8,1424.6,1429.91,11270560,182531
RELIANCE,5/19/2025,1456.4,1452.1,1454.6,1438.2,1440.8,1443.67,6195791,144606
RELIANCE,5/16/2025,1454.2,1453.2,1461,1447.3,1456.4,1455.16,9036695,196322
RELIANCE,5/15/2025,1424.4,1425,1461.4,1412.7,1454.2,1441.41,20177211,314261
RELIANCE,5/14/2025,1415.7,1420,1429.9,1415.5,1424.4,1423.31,5570160,145014
RELIANCE,5/13/2025,1436.5,1433.5,1447.7,1412.4,1415.7,1423.23,11407896,281992
RELIANCE,5/12/2025,1377.2,1400,1439,1400,1436.5,1426.35,10674081,310602
RELIANCE,5/9/2025,1407,1385.5,1394.8,1374.5,1377.2,1382.39,13668904,388013
RELIANCE,5/8/2025,1406,1404.1,1420.8,1398,1407,1410.51,16106175,231342
RELIANCE,5/7/2025,1420.9,1420.9,1424.4,1402.7,1406,1412.79,13440169,222903
RELIANCE,5/6/2025,1431.3,1431,1432,1410.6,1420.9,1419.01,14084117,226761
RELIANCE,5/5/2025,1422.4,1431,1439.5,1426.9,1431.3,1432,12685649,204503
RELIANCE,5/2/2025,1405,1414,1426.7,1409.1,1422.4,1419.65,17535402,378385
RELIANCE,4/30/2025,1399.7,1402,1412.4,1369,1405,1404.87,25480745,598769
RELIANCE,4/29/2025,1368.8,1371,1410.9,1370,1399.7,1395.77,32538970,680195
RELIANCE,4/28/2025,1300.4,1340,1374.6,1320.2,1368.8,1355.02,31104496,893347
RELIANCE,4/25/2025,1301.6,1303.5,1325.2,1288.1,1300.4,1303.3,14431012,307093
RELIANCE,4/24/2025,1300,1292.4,1304.5,1290.3,1301.6,1298.32,10468940,181309
RELIANCE,4/23/2025,1291.2,1297,1306,1285.4,1300,1297.08,10480888,232149
RELIANCE,4/22/2025,1295.5,1300,1303.9,1286.3,1291.2,1295.99,13051707,229331
RELIANCE,4/21/2025,1274.5,1270,1300.9,1267,1295.5,1291.47,10429964,257857
RELIANCE,4/17/2025,1239.3,1240.2,1280.2,1227.6,1274.5,1260.38,15398401,321235
RELIANCE,4/16/2025,1240.1,1234.1,1240.9,1229,1239.3,1235.61,8248464,164065
RELIANCE,4/15/2025,1218.95,1251,1251,1237.1,1240.1,1242.83,13378535,199888
RELIANCE,4/11/2025,1185.35,1195.15,1222.65,1195.15,1218.95,1214.05,11224242,187059
RELIANCE,4/9/2025,1182.2,1169.5,1189.8,1168,1185.35,1183.08,10223104,193325
RELIANCE,4/8/2025,1165.7,1172,1196.6,1163.3,1182.2,1179.5,19555040,314171
RELIANCE,4/7/2025,1204.7,1132.2,1171.25,1114.85,1165.7,1150.54,22156106,677564
RELIANCE,4/4/2025,1248.7,1241.1,1245.45,1193.15,1204.7,1206.62,17908652,542347
RELIANCE,4/3/2025,1251.15,1233.05,1251.8,1233.05,1248.7,1246.31,7434366,146316
RELIANCE,4/2/2025,1252.6,1247.55,1255.55,1243.9,1251.15,1251.04,10142590,177979
RELIANCE,4/1/2025,1275.1,1264.6,1277.9,1249.3,1252.6,1260.72,12099648,260862
RELIANCE,3/28/2025,1278.2,1280,1295.75,1269,1275.1,1278.15,18147129,265113
RELIANCE,3/27/2025,1273.05,1278.15,1285,1271.3,1278.2,1278.9,15028056,224828
RELIANCE,3/26/2025,1285.45,1291,1293.8,1268.75,1273.05,1279.04,12074747,292138
RELIANCE,3/25/2025,1302.1,1307.7,1307.7,1282.6,1285.45,1290.63,13713899,271251
RELIANCE,3/24/2025,1276.35,1291,1306,1284.25,1302.1,1297.38,20299319,347056
RELIANCE,3/21/2025,1269.15,1275,1281,1270.1,1276.35,1276.34,21780769,230001
RELIANCE,3/20/2025,1247.15,1251.85,1273,1250.05,1269.15,1262.54,15971477,219527
RELIANCE,3/19/2025,1238.8,1241.05,1253.25,1238.8,1247.15,1247.22,16162399,217782
RELIANCE,3/18/2025,1238.85,1244.7,1248.35,1235,1238.8,1238.98,15745877,312315
RELIANCE,3/17/2025,1247.9,1242.15,1257.4,1233.1,1238.85,1239.76,16640952,269824
TATAPOWER,3/13/2026,402.15,402.15,406.05,393.45,394.95,398.73,9072187,90637
TATAPOWER,3/12/2026,385.75,384,407.35,383.45,402.15,399.63,25007929,204669
TATAPOWER,3/11/2026,381.3,383,392.5,382.35,385.75,388.11,9679700,109890
TATAPOWER,3/10/2026,372.9,375.9,384.15,375.9,381.3,380.85,7675259,71818
TATAPOWER,3/9/2026,375.5,366.5,374.2,365.15,372.9,370.11,5063475,55403
TATAPOWER,3/6/2026,376.85,375,385.25,373.1,375.5,379.85,3748549,44315
TATAPOWER,3/5/2026,365.85,366.25,378.5,366.25,376.85,374.76,5981063,64650
TATAPOWER,3/4/2026,368.35,362.3,369.9,362.1,365.85,365.76,5707031,73287
TATAPOWER,3/2/2026,377.55,356,373.95,356,368.35,368.1,5645823,74085
TATAPOWER,2/27/2026,380.4,380.4,381.5,376.25,377.55,378.17,3197689,40560
TATAPOWER,2/26/2026,381.25,380.8,385.4,378.25,380.4,381.24,3190045,39414
TATAPOWER,2/25/2026,379.75,380,383.65,376.5,381.25,379.92,3122278,36413
TATAPOWER,2/24/2026,379.25,377,380.45,372.5,379.75,377.07,3005896,37450
TATAPOWER,2/23/2026,378,379,381.55,376.8,379.25,378.85,3229333,50351
TATAPOWER,2/20/2026,369.3,369.3,379.2,369.25,378,375.67,2844023,37168
TATAPOWER,2/19/2026,379.6,379.5,381.75,368.3,369.3,372.79,3203557,40669
TATAPOWER,2/18/2026,378.4,378.4,382.15,377.95,379.6,379.97,2150233,35506
TATAPOWER,2/17/2026,382.1,381.4,384.1,377,378.4,379.66,3799013,39105
TATAPOWER,2/16/2026,374.1,372,384.25,370.9,382.1,379.65,3884952,47518
TATAPOWER,2/13/2026,380.55,377,377.8,370.65,374.1,373.75,4441440,51379
TATAPOWER,2/12/2026,375.65,376.2,381.5,371.5,380.55,376.3,6063960,67840
TATAPOWER,2/11/2026,369.95,370.15,377.4,366.65,375.65,371.59,3457996,39609
TATAPOWER,2/10/2026,368.7,369,370.4,367.65,369.95,369.21,1910161,29849
TATAPOWER,2/9/2026,365.95,367,369.1,365.1,368.7,367.45,2824091,38660
TATAPOWER,2/6/2026,364.5,364.4,366.55,361,365.95,363.46,2245318,28513
TATAPOWER,2/5/2026,371.55,363,366.75,360.7,364.5,363.33,5457078,53453
TATAPOWER,2/4/2026,365.1,365.1,372.25,363.6,371.55,370.05,4215317,58179
TATAPOWER,2/3/2026,358.8,367.3,371.6,364,365.1,366.54,3756665,45959
TATAPOWER,2/2/2026,354.35,355,360.55,348.4,358.8,353.81,3274185,44862
TATAPOWER,2/1/2026,366.3,367.7,372,351.65,354.35,363.53,3806616,54241
TATAPOWER,1/30/2026,366.45,366,367,360.1,366.3,364.37,5917250,63400
TATAPOWER,1/29/2026,355.05,357.4,367.5,356.5,366.45,362.71,4356054,53203
TATAPOWER,1/28/2026,347.75,349,355.9,348.7,355.05,352.81,6892969,51436
TATAPOWER,1/27/2026,345.25,345.7,349.95,342.5,347.75,345.71,3960617,53356
TATAPOWER,1/23/2026,353.3,355,355,344.1,345.25,347.54,3122016,62470
TATAPOWER,1/22/2026,349.35,351,354.95,349.8,353.3,352.37,3432952,43126
TATAPOWER,1/21/2026,352.95,351.95,353.6,346.5,349.35,350.08,4066338,59520
TATAPOWER,1/20/2026,363.2,362.45,364.15,351.1,352.95,358.14,3143726,59989
TATAPOWER,1/19/2026,366.1,366.1,368.7,362,363.2,364.87,2283012,38637
TATAPOWER,1/16/2026,367.4,368,372.35,364.2,366.1,368.28,3726735,51636
TATAPOWER,1/14/2026,368.45,366.4,370,366.3,367.4,368.13,3084937,32186
TATAPOWER,1/13/2026,370.6,370.6,372.2,365.15,368.45,368.04,3242292,38824
