symbol,trade_date,prev_close,open_price,high_price,low_price,last_price,close_price,avg_price,volume,no_of_trades
WIPRO,2026-02-24,205.89,203,203.29,199.36,200.49,200.14,200.72,25036686,247920
WIPRO,2026-02-23,209.86,210.36,211.74,204.28,205.9,205.89,206.25,20946229,217361
WIPRO,2026-02-20,211.21,209.7,211.96,208.25,210.03,209.86,210.08,17690420,163649
WIPRO,2026-02-19,211.95,214,215.44,210.4,210.72,211.21,212.77,14151588,102693
WIPRO,2026-02-18,215.69,216.2,216.4,210.26,212.15,211.95,211.74,22679760,201305
WIPRO,2026-02-17,213.26,213.26,219.39,212.26,215.85,215.69,216.29,26941553,174468
WIPRO,2026-02-16,214.09,214.62,216.91,210.11,213.19,213.26,212.31,20754327,141937
WIPRO,2026-02-13,219.08,210.65,216.48,209.01,214.38,214.09,212.96,23721186,223527
WIPRO,2026-02-12,229.81,226.2,226.26,218.5,218.8,219.08,220.27,40899346,348088
WIPRO,2026-02-11,231.47,231.47,233,229.5,229.9,229.81,230.6,7874912,96034
WIPRO,2026-02-10,230.08,229.98,232.86,227.2,231.29,231.47,230.57,12435622,128441
WIPRO,2026-02-09,230.72,231.85,232.93,229.61,230.1,230.08,230.5,9112474,142928
WIPRO,2026-02-06,233.39,232.93,232.93,228.6,230.4,230.72,230.42,12279085,129896
WIPRO,2026-02-05,233.34,233.34,235.57,231.7,233.18,233.39,233.6,10102736,103605
WIPRO,2026-02-04,242.69,235.91,235.92,226.26,233.5,233.34,232.66,25995324,280243
WIPRO,2026-02-03,242.3,259.21,259.89,242.28,242.56,242.69,245.96,25915412,216052
WIPRO,2026-02-02,241.8,244,244.08,239.29,242.5,242.3,241.63,12335721,111976
WIPRO,2026-02-01,236.9,236.8,247.23,235.44,241.93,241.8,243.26,21033580,132501
WIPRO,2026-01-30,239.8,238,238,235.3,236.45,236.9,236.7,11362317,99619
WIPRO,2026-01-29,237.35,236.2,240.9,235.45,240,239.8,238.25,12201949,105121
WIPRO,2026-01-28,234.8,235.5,238.1,234.95,237.95,237.35,236.78,10155128,79176
WIPRO,2026-01-27,238.4,235.2,236.4,231.75,235.4,234.8,233.7,15677537,160464
WIPRO,2026-01-23,240.65,242.3,243.55,237.85,238.05,238.4,239.93,13546802,126293
WIPRO,2026-01-22,239.55,242,242.9,239.2,241.15,240.65,240.9,8537915,73157
WIPRO,2026-01-21,239.9,239.9,242.6,237.6,239.7,239.55,239.61,14397792,151454
WIPRO,2026-01-20,245.95,245.95,246,239.4,240,239.9,241.39,16796201,169874
WIPRO,2026-01-19,267.45,252,252,241.55,245.5,245.95,247.18,65833247,411151
WIPRO,2026-01-16,260.2,263.25,269.8,263,266.8,267.45,267.82,12028289,102007
WIPRO,2026-01-14,264.2,264,264,259.6,260.95,260.2,260.83,5625861,62045
WIPRO,2026-01-13,263.1,263.45,264.85,261.3,264.4,264.2,263.22,6931244,51936
WIPRO,2026-01-12,261.95,260.7,264.5,259.05,263.3,263.1,262.6,3802164,53333
WIPRO,2026-01-09,262.2,261.35,263.95,260.45,262.5,261.95,262.19,4735387,57177
WIPRO,2026-01-08,270.8,270.9,270.9,261.35,261.9,262.2,264.82,9269522,100744
WIPRO,2026-01-07,265.6,265,272.5,264.5,270.35,270.8,270.12,10242615,87098
WIPRO,2026-01-06,263.3,263.3,266.1,262.95,265.1,265.6,264.91,4083654,56243
WIPRO,2026-01-05,269,269.45,269.65,261.7,263,263.3,263.83,7006599,88066
WIPRO,2026-01-02,267.35,267.35,272.4,266.15,269,269,269.83,8286204,59920
WIPRO,2026-01-01,263.28,264.5,268.05,263.75,267.3,267.35,266.73,3639755,37501
WIPRO,2025-12-31,263.65,264,264.6,261.26,264,263.28,262.64,5705044,51645
WIPRO,2025-12-30,264.24,264,264.72,263.02,264.31,263.65,263.83,5117699,75947
WIPRO,2025-12-29,266.3,265.99,267.39,263.6,264.25,264.24,265.56,3755074,52279
WIPRO,2025-12-26,268.06,267.2,268.88,265.74,266.25,266.3,267.13,2899112,52478
WIPRO,2025-12-24,271.4,270.94,270.98,267.2,268.14,268.06,268.42,4694861,62692
WIPRO,2025-12-23,272.67,272,272.48,270.21,271.3,271.4,271.28,7572420,75683
WIPRO,2025-12-22,264.45,267.51,273.1,266.8,272.65,272.67,271.28,14651313,142390
WIPRO,2025-12-19,263.85,267,267,263.3,264.17,264.45,264.63,12750745,65906
WIPRO,2025-12-18,261.14,261.18,264.99,261,264.09,263.85,263.42,9008412,81183
WIPRO,2025-12-17,259.22,259,262.13,258.31,261.2,261.14,260.93,4923276,58007
WIPRO,2025-12-16,261.74,261.74,261.75,258.8,259.3,259.22,259.93,2982041,52058
WIPRO,2025-12-15,260.6,259.99,262.5,258.54,262.5,261.74,260.73,4023911,65233
WIPRO,2025-12-12,259.25,259.5,260.82,257.36,260.5,260.6,259.59,4008271,59594
WIPRO,2025-12-11,257.98,258.31,259.98,257.72,259.2,259.25,259.05,6473376,64064
WIPRO,2025-12-10,257.41,258.01,260.37,257.25,257.72,257.98,258.58,7944200,74001
