symbol,trade_date,prev_close,open_price,high_price,low_price,last_price,close_price,avg_price,volume,no_of_trades
M&M,2025-12-11,3630.00,3623.40,3669.10,3615.90,3658.60,3665.20,3642.92,981456,81623
M&M,2025-12-10,3635.90,3660.00,3694.90,3626.20,3633.40,3630.00,3654.49,1593915,99751
M&M,2025-12-09,3681.70,3658.00,3674.40,3604.50,3648.40,3635.90,3633.20,3901255,159487
M&M,2025-12-08,3717.10,3720.00,3725.00,3671.60,3679.00,3681.70,3689.44,1500195,97521
M&M,2025-12-05,3671.60,3659.30,3721.50,3642.50,3708.30,3717.10,3704.63,2393280,80840
M&M,2025-12-04,3649.40,3675.00,3678.20,3620.20,3670.00,3671.60,3662.60,1984001,114158
M&M,2025-12-03,3716.50,3736.00,3740.00,3640.00,3649.00,3649.40,3660.65,2002476,111944
M&M,2025-12-02,3741.60,3722.80,3748.00,3705.50,3720.90,3716.50,3721.62,2285922,108543
M&M,2025-12-01,3757.30,3790.00,3795.00,3730.00,3733.00,3741.60,3755.36,1830158,124425
M&M,2025-11-28,3681.20,3692.00,3768.90,3690.10,3761.00,3757.30,3749.96,2944457,150530
M&M,2025-11-27,3686.40,3701.50,3717.60,3665.00,3679.00,3681.20,3684.90,1993274,125917
M&M,2025-11-26,3669.30,3681.00,3708.00,3669.30,3686.40,3686.40,3686.10,2116524,102699
M&M,2025-11-25,3690.80,3687.00,3695.80,3653.00,3660.70,3669.30,3675.94,1714176,112437
M&M,2025-11-24,3749.60,3745.10,3749.50,3677.20,3687.00,3690.80,3698.21,4059935,173533
M&M,2025-11-21,3716.70,3730.00,3779.00,3726.00,3747.00,3749.60,3758.37,3184145,133438
M&M,2025-11-20,3722.50,3744.80,3759.00,3711.10,3711.80,3716.70,3734.77,1815617,109216
M&M,2025-11-19,3694.80,3695.00,3746.50,3667.80,3718.00,3722.50,3719.32,1626043,79016
M&M,2025-11-18,3734.90,3718.50,3732.70,3688.00,3699.00,3694.80,3704.51,2613743,80348
M&M,2025-11-17,3698.60,3710.00,3754.50,3682.30,3731.70,3734.90,3731.18,2094008,113027
M&M,2025-11-14,3699.50,3700.00,3716.80,3660.50,3698.00,3698.60,3694.19,1847028,99835
